회차,1,2,3,4,5,6
601,2,16,19,31,34,35
602,13,14,22,27,30,38
603,2,19,25,26,27,43
604,2,6,18,21,33,34
605,1,2,7,9,10,38
606,1,5,6,14,20,39
607,8,14,23,36,38,39
608,4,8,18,19,39,44
609,4,8,27,34,39,40
610,14,18,20,23,28,36
611,2,22,27,33,36,37
612,6,9,18,19,25,33
613,7,8,11,16,41,44
614,8,21,25,39,40,44
615,10,17,18,19,23,27
616,5,13,18,23,40,45
617,4,5,11,12,24,27
618,8,16,25,30,42,43
619,6,8,13,30,35,40
620,2,16,17,32,39,45
621,1,2,6,16,19,42
622,9,15,16,21,28,34
623,7,13,30,39,41,45
624,1,7,19,26,27,35
625,3,6,7,20,21,39
626,13,14,26,33,40,43
627,2,9,22,25,31,45
628,1,7,12,15,23,42
629,19,28,31,38,43,44
630,8,17,21,24,27,31
631,1,2,4,23,31,34
632,15,18,21,32,35,44
633,9,12,19,20,39,41
634,4,10,11,12,20,27
635,11,13,25,26,29,33
636,6,7,15,16,20,31
637,3,16,22,37,38,44
638,7,18,22,24,31,34
639,6,15,22,23,25,32
640,14,15,18,21,26,35
641,11,18,21,36,37,43
642,8,17,18,24,39,45
643,15,24,31,32,33,40
644,5,13,17,23,28,36
645,1,4,16,26,40,41
646,2,9,24,41,43,45
647,5,16,21,23,24,30
648,13,19,28,37,38,43
649,3,21,22,33,41,42
650,3,4,7,11,31,41
651,11,12,16,26,29,44
652,3,13,15,40,41,44
653,5,6,26,27,38,39
654,16,21,26,31,36,43
655,7,37,38,39,40,44
656,3,7,14,16,31,40
657,10,14,19,39,40,43
658,8,19,25,28,32,36
659,7,18,19,27,29,42
660,4,9,23,33,39,44
661,2,3,12,20,27,38
662,5,6,9,11,15,37
663,3,5,8,19,38,42
664,10,20,33,36,41,44
665,5,6,11,17,38,44
666,2,4,6,11,17,28
667,15,17,25,37,42,43
668,12,14,15,24,27,32
669,7,8,20,29,33,38
670,11,18,26,27,40,41
671,7,9,10,13,31,35
672,8,21,28,31,36,45
673,7,10,17,29,33,44
674,9,10,14,25,27,31
675,1,8,11,15,18,45
676,1,8,17,34,39,45
677,12,15,24,36,41,44
678,4,5,6,12,25,37
679,3,5,7,14,26,34
680,4,10,19,29,32,42
681,21,24,27,29,43,44
682,17,23,27,35,38,43
683,6,13,20,27,28,40
684,1,11,15,17,25,39
685,6,7,12,28,38,40
686,7,12,15,24,25,43
687,1,8,10,13,28,42
688,5,15,22,23,34,35
689,7,17,19,30,36,38
690,24,25,33,34,38,39
691,15,27,33,35,43,45
692,3,11,14,15,32,36
693,1,6,11,28,34,42
694,7,15,20,25,33,43
695,4,18,26,33,34,38
696,1,7,16,18,34,38
697,2,5,8,11,33,39
698,3,11,13,21,33,37
699,4,5,8,16,21,29
700,11,23,28,29,30,44
701,3,10,14,16,36,38
702,3,13,16,24,26,29
703,10,28,31,33,41,44
704,1,4,8,23,33,42
705,1,6,17,22,28,45
706,3,4,6,10,28,30
707,2,12,19,24,39,44
708,2,10,16,19,34,45
709,10,18,30,36,39,44
710,3,4,9,24,25,33
711,11,15,24,35,37,45
712,17,20,30,31,33,45
713,2,5,15,18,19,23
714,1,7,22,33,37,40
715,2,7,27,33,41,44
716,2,6,13,16,29,30
717,2,11,19,25,28,32
718,4,11,20,23,32,39
719,4,8,13,19,20,43
720,1,12,29,34,36,37
721,1,28,35,41,43,44
722,12,14,21,30,39,43
723,20,30,33,35,36,44
724,2,8,33,35,37,41
725,6,7,19,21,41,43
726,1,11,21,23,34,44
727,7,8,10,19,21,31
728,3,6,10,30,34,37
729,11,17,21,26,36,45
730,4,10,14,15,18,22
731,2,7,13,25,42,45
732,2,4,5,17,27,32
733,11,24,32,33,35,40
734,6,16,37,38,41,45
735,5,10,13,27,37,41
736,2,11,17,18,21,27
737,13,15,18,24,27,41
738,23,27,28,38,42,43
739,7,22,29,33,34,35
740,4,8,9,16,17,19
741,5,21,27,34,44,45
742,8,10,13,36,37,40
743,15,19,21,34,41,44
744,10,15,18,21,34,41
745,1,2,3,9,12,23
746,3,12,33,36,42,45
747,7,9,12,14,23,28
748,3,10,13,22,31,32
749,12,14,24,26,34,45
750,1,2,15,19,24,36
751,3,4,16,20,28,44
752,4,16,20,33,40,43
753,2,17,19,24,37,41
754,2,8,17,24,29,31
755,13,14,26,28,30,36
756,10,14,16,18,27,28
757,6,7,11,17,33,44
758,5,9,12,30,39,43
759,9,33,36,40,42,43
760,10,22,27,31,42,43
761,4,7,11,24,42,45
762,1,3,12,21,26,41
763,3,8,16,32,34,43
764,7,22,24,31,34,36
765,1,3,8,12,42,43
766,9,30,34,35,39,41
767,5,15,20,31,34,42
768,7,27,29,30,38,44
769,5,7,11,16,41,45
770,1,9,12,23,39,43
771,6,10,17,18,21,29
772,5,6,11,14,21,41
773,8,12,19,21,31,35
774,12,15,18,28,34,42
775,11,12,29,33,38,42
776,8,9,18,21,28,40
777,6,12,17,21,34,37
778,6,21,35,36,37,41
779,6,12,19,24,34,41
780,15,17,19,21,27,45
781,11,16,18,19,24,39
782,6,18,31,34,38,45
783,14,15,16,17,38,45
784,3,10,23,24,31,39
785,4,6,15,25,26,33
786,12,15,16,20,24,30
787,5,6,13,16,27,28
788,2,10,11,19,35,39
789,2,6,7,12,19,45
790,3,8,19,27,30,41
791,2,10,12,31,33,42
792,2,7,19,25,29,36
793,10,15,21,35,38,43
794,6,7,18,19,30,38
795,3,10,13,26,34,38
796,1,21,26,36,40,41
797,5,22,31,32,39,45
798,2,10,14,22,32,36
799,12,17,23,34,42,45
800,1,4,10,12,28,45
801,17,25,28,37,43,44
802,10,11,12,18,24,42
803,5,9,14,26,30,43
804,1,10,13,26,32,36
805,3,12,13,18,31,32
806,14,20,23,31,37,38
807,6,10,18,25,34,35
808,15,21,31,32,41,43
809,6,11,15,17,23,40
810,5,10,13,21,39,43
811,8,11,19,21,36,45
812,1,3,12,14,16,43
813,11,30,34,35,42,44
814,2,21,28,38,42,45
815,17,21,25,26,27,36
816,12,18,19,29,31,39
817,3,9,12,13,25,43
818,14,15,25,28,29,30
819,16,25,33,38,40,45
820,10,21,22,30,35,42
821,1,12,13,24,29,44
822,9,18,20,24,27,36
823,12,18,24,26,39,40
824,7,9,24,29,34,38
825,8,15,21,31,33,38
826,13,16,24,25,33,36
827,5,11,12,29,33,44
828,4,7,13,29,31,39
829,4,5,31,35,43,45
830,5,6,16,18,37,38
831,3,10,16,19,31,39
832,13,14,19,26,40,43
833,12,18,30,39,41,42
834,6,8,18,35,42,43
835,9,10,13,28,38,45
836,1,9,11,14,26,28
837,2,25,28,30,33,45
838,9,14,17,33,36,38
839,3,9,11,12,13,19
840,2,4,11,28,29,43
841,5,11,14,30,33,38
842,14,26,32,36,39,42
843,19,21,30,33,34,42
844,7,8,13,15,33,45
845,1,16,29,33,40,45
846,5,18,30,41,43,45
847,12,16,26,28,30,42
848,1,2,16,22,38,39
849,5,13,17,29,34,39
850,16,20,24,28,36,39
851,14,18,22,26,31,44
852,11,17,28,30,33,35
853,2,8,23,26,27,44
854,20,25,31,32,36,43
855,8,15,17,19,43,44
856,10,24,40,41,43,44
857,6,10,16,28,34,38
858,9,13,32,38,39,43
859,8,22,35,38,39,41
860,4,8,18,25,27,32
861,11,17,19,21,22,25
862,10,34,38,40,42,43
863,16,21,28,35,39,43
864,3,7,10,13,25,36
865,3,15,22,32,33,45
866,9,15,29,34,37,39
867,14,17,19,22,24,40
868,12,17,28,41,43,44
869,2,6,20,27,37,39
870,21,25,30,32,40,42
871,2,6,12,26,30,34
872,2,4,30,32,33,43
873,3,5,12,13,33,39
874,1,15,19,23,28,42
875,19,22,30,34,39,44
876,5,16,21,26,34,42
877,5,17,18,22,23,43
878,2,6,11,16,25,31
879,1,4,10,14,15,35
880,7,17,19,23,24,45
881,4,18,20,26,27,32
882,18,34,39,43,44,45
883,9,18,32,33,37,44
884,4,14,23,28,37,45
885,1,3,24,27,39,45
886,19,23,28,37,42,45
887,8,14,17,27,36,45
888,3,7,12,31,34,38
889,3,13,29,38,39,42
890,1,4,14,18,29,37
891,9,13,28,31,39,41
892,4,9,17,18,26,42
893,1,15,17,23,25,41
894,19,32,37,40,41,43
895,16,26,31,38,39,41
896,5,12,25,26,38,45
897,6,7,12,22,26,36
898,18,21,28,35,37,42
899,8,19,20,21,33,39
900,7,13,16,18,35,38
901,5,18,20,23,30,34
902,7,19,23,24,36,39
903,2,15,16,21,22,28
904,2,6,8,26,43,45
905,3,4,16,27,38,40
906,2,5,14,28,31,32
907,21,27,29,38,40,44
908,3,16,21,22,23,44
909,7,24,29,30,34,35
910,1,11,17,27,35,39
911,4,5,12,14,32,42
912,5,8,18,21,22,38
913,6,14,16,21,27,37
914,16,19,24,33,42,44
915,2,6,11,13,22,37
916,6,21,22,32,35,36
917,1,3,23,24,27,43
918,7,11,12,31,33,38
919,9,14,17,18,42,44
920,2,3,26,33,34,43
921,5,7,12,22,28,41
922,2,6,13,17,27,43
923,3,17,18,23,36,41
924,3,11,34,42,43,44
925,13,24,32,34,39,42
926,10,16,18,20,25,31
927,4,15,22,38,41,43
928,3,4,10,20,28,44
929,7,9,12,15,19,23
930,8,21,25,38,39,44
931,14,15,23,25,35,43
932,1,6,15,36,37,38
933,23,27,29,31,36,45
934,1,3,30,33,36,39
935,4,10,20,32,38,44
936,7,11,13,17,18,29
937,2,10,13,22,29,40
938,4,8,10,16,31,36
939,4,11,28,39,42,45
940,3,15,20,22,24,41
941,12,14,25,27,39,40
942,10,12,18,35,42,43
943,1,8,13,36,44,45
944,2,13,16,19,32,33
945,9,10,15,30,33,37
946,9,18,19,30,34,40
947,3,8,17,20,27,35
948,13,18,30,31,38,41
949,14,21,35,36,40,44
950,3,4,15,22,28,40
951,2,12,30,31,39,43
952,4,12,22,24,33,41
953,7,9,22,27,37,42
954,1,9,26,28,30,41
955,4,9,23,26,29,33
956,10,11,20,21,25,41
957,4,15,24,35,36,40
958,2,9,10,16,35,37
959,1,14,15,24,40,41
960,2,18,24,30,32,45
961,11,20,29,31,33,42
962,1,18,28,31,34,43
963,6,12,19,23,34,42
964,6,21,36,38,39,43
965,2,13,25,28,29,36
966,1,21,25,29,34,37
967,1,6,13,37,38,40
968,2,5,12,14,24,39
969,3,9,10,29,40,45
970,9,11,16,21,28,36
971,2,6,17,18,21,26
972,3,6,17,23,37,39
973,22,26,31,37,41,42
974,1,2,11,16,39,44
975,7,8,9,17,22,24
976,4,12,14,25,35,37
977,2,9,10,14,22,44
978,1,7,15,32,34,42
979,7,11,16,21,27,33
980,3,13,16,23,24,35
981,27,36,37,41,43,45
982,5,7,13,20,21,44
983,13,23,26,31,35,43
984,3,10,23,35,36,37
985,17,21,23,30,34,44
986,7,10,16,28,41,42
987,2,4,15,23,29,38
988,2,13,20,30,31,41
989,17,18,21,27,29,33
990,2,4,25,26,36,37
991,13,18,25,31,33,44
992,12,20,26,33,44,45
993,6,14,16,18,24,42
994,1,3,8,24,27,35
995,1,4,13,29,38,39
996,6,11,15,24,32,39
997,4,7,14,16,24,44
998,13,17,18,20,42,45
999,1,3,9,14,18,28
1000,2,8,19,22,32,42
1001,6,10,12,14,20,42
1002,17,25,33,35,38,45
1003,1,4,29,39,43,45
1004,7,15,30,37,39,44
1005,8,13,18,24,27,29
1006,8,11,15,16,17,37
1007,8,11,16,19,21,25
1008,9,11,30,31,41,44
1009,15,23,29,34,40,44
1010,9,12,15,25,34,36
1011,1,9,12,26,35,38
1012,5,11,18,20,35,45
1013,21,22,26,34,36,41
1014,3,11,14,18,26,27
1015,14,23,31,33,37,40
1016,15,26,28,34,41,42
1017,12,18,22,23,30,34
1018,3,19,21,25,37,45
1019,1,4,13,17,34,39
1020,12,27,29,38,41,45
1021,12,15,17,24,29,45
1022,5,6,11,29,42,45
1023,10,14,16,18,29,35
1024,9,18,20,22,38,44
1025,8,9,20,25,29,33
1026,5,12,13,31,32,41
1027,14,16,27,35,39,45
1028,5,7,12,13,18,35
1029,12,30,32,37,39,41
1030,2,5,11,17,24,29
1031,6,7,22,32,35,36
1032,1,6,12,19,36,42
1033,3,11,15,20,35,44
1034,26,31,32,33,38,40
1035,9,14,34,35,41,42
1036,2,5,22,32,34,45
1037,2,14,15,22,27,33
1038,7,16,24,27,37,44
1039,2,3,6,19,36,39
1040,8,16,26,29,31,36
1041,6,7,9,11,17,18
1042,5,14,15,23,34,43
1043,3,5,12,22,26,31
1044,12,17,20,26,28,36
1045,6,14,15,19,21,41
1046,7,16,25,29,35,36
1047,2,20,33,40,42,44
1048,6,12,17,21,32,39
1049,3,5,13,20,21,37
1050,6,12,31,35,38,43
1051,21,26,30,32,33,35
1052,5,17,26,27,35,38
1053,22,26,29,30,34,45
1054,14,19,27,28,30,45
1055,4,7,12,14,22,33
1056,13,20,24,32,36,45
1057,8,13,19,27,40,45
1058,11,23,25,30,32,40
1059,7,10,22,25,34,40
1060,3,10,24,33,38,45
1061,4,24,27,35,37,45
1062,20,31,32,40,41,45
1063,3,6,22,23,24,38
1064,3,6,9,18,22,35
1065,3,18,19,23,32,45
1066,6,11,16,19,21,32
1067,7,10,19,23,28,33
1068,4,7,19,26,33,35
1069,1,10,18,22,28,31
1070,3,6,14,22,30,41
1071,1,2,11,21,30,35
1072,16,18,20,23,32,43
1073,6,18,28,30,32,38
1074,1,6,20,27,28,41
1075,1,23,24,35,44,45
1076,3,7,9,33,36,37
1077,4,8,17,30,40,43
1078,6,10,11,14,36,38
1079,4,8,18,24,37,45
1080,13,16,23,31,36,44
1081,1,9,16,23,24,38
1082,21,26,27,32,34,42
1083,3,7,14,15,22,38
1084,8,12,13,29,33,42
1085,4,7,17,18,38,44
1086,11,16,25,27,35,36
1087,13,14,18,21,34,44
1088,11,21,22,30,39,44
1089,4,18,31,37,42,43
1090,12,19,21,29,40,45
1091,6,20,23,24,28,30
1092,7,18,19,26,33,45
1093,10,17,22,30,35,43
1094,6,7,15,22,26,40
1095,8,14,28,29,34,40
1096,1,12,16,19,23,43
1097,14,33,34,35,37,40
1098,12,16,21,24,41,43
1099,3,20,28,38,40,43
1100,17,26,29,30,31,43
1101,6,7,13,28,36,42
1102,13,14,22,26,37,38
1103,10,12,29,31,40,44
1104,1,7,21,30,35,38
1105,6,16,34,37,39,40
1106,1,3,4,29,42,45
1107,6,14,30,31,40,41
1108,7,19,26,37,39,44
1109,10,12,13,19,33,40
1110,3,7,11,20,22,41
1111,3,13,30,33,43,45
1112,16,20,26,36,42,44
1113,11,13,20,21,32,44
1114,10,16,19,32,33,38
1115,7,12,23,32,34,36
1116,15,16,17,25,30,31
1117,3,4,9,30,33,36
1118,11,13,14,15,16,45
1119,1,9,12,13,20,45
1120,2,19,26,31,38,41
1121,6,24,31,32,38,44
1122,3,6,21,30,34,35
1123,13,19,21,24,34,35
1124,3,8,17,30,33,34
1125,6,14,25,33,40,44
1126,4,5,9,11,37,40
1127,10,15,24,30,31,37
1128,1,5,8,16,28,33
1129,5,10,11,17,28,34
1130,15,19,21,25,27,28
1131,1,2,6,14,27,38
1132,6,7,19,28,34,41
1133,13,14,20,28,29,34
1134,3,7,9,13,19,24
1135,1,6,13,19,21,33
1136,21,33,35,38,42,44
1137,4,9,12,15,33,45
1138,14,16,19,20,29,34
1139,5,12,15,30,37,40
1140,7,10,22,29,31,38
1141,7,11,12,21,26,35
1142,2,8,28,30,37,41
1143,10,16,17,27,28,36
1144,3,4,12,15,26,34
1145,2,11,31,33,37,44
1146,6,11,17,19,40,43
1147,7,11,24,26,27,37
1148,3,6,13,15,16,22
1149,8,15,19,21,32,36
1150,8,9,18,35,39,45
1151,2,3,9,15,27,29
1152,30,31,32,35,36,37
1153,1,9,10,13,35,44
1154,4,8,22,26,32,38
1155,10,16,19,27,37,38
1156,30,31,34,39,41,45
1157,5,7,12,20,25,26
1158,21,25,27,32,37,38
1159,3,9,27,28,38,39
1160,7,13,18,36,39,45
1161,2,12,20,24,34,42
1162,20,21,22,25,28,29
1163,2,13,15,16,33,43
1164,17,18,23,25,38,39
1165,6,7,27,29,38,45
